epoch,loss,auc,ap,mrr,hits@10,hits@50,hits@100,phase,phase_name,phase_changed,competence,easy_ratio,medium_ratio,hard_ratio
10,0.6387982368469238,0.7989706371351328,0.8267695116236132,0.21636121778495315,0.03802281368821293,0.18631178707224336,0.3650190114068441,1,easy_medium,True,0.0,1.0,0.0,0.0
20,0.5276217460632324,0.8788330032239875,0.878863326323101,0.260073664107904,0.03802281368821293,0.19011406844106463,0.34980988593155893,2,mixed,True,0.0,0.7,0.3,0.0
30,0.4753186106681824,0.8983648744379706,0.8924951276991481,0.22771051751234145,0.03802281368821293,0.18631178707224336,0.35361216730038025,2,mixed,False,0.8983648744379706,0.3,0.4,0.3
40,0.4463646113872528,0.9099885786985499,0.9075807248931443,0.30230229911685524,0.03802281368821293,0.19011406844106463,0.3650190114068441,3,hard_focus,True,0.0,0.3,0.4,0.3
50,0.44852226972579956,0.9182726365857538,0.9208848856109483,0.34130147446979175,0.03802281368821293,0.19011406844106463,0.3688212927756654,3,hard_focus,False,0.9182726365857538,0.0,0.3,0.7
60,0.4247102439403534,0.9172606225332157,0.9227431210016622,0.3529380182014657,0.03802281368821293,0.19011406844106463,0.3726235741444867,3,hard_focus,False,0.9177666295594847,0.0,0.3,0.7
70,0.41746631264686584,0.9115788864953954,0.917842844962249,0.33341137657086617,0.03802281368821293,0.19011406844106463,0.3650190114068441,3,hard_focus,False,0.9157040485381217,0.0,0.3,0.7
80,0.4046229422092438,0.9150052769304168,0.921504652066788,0.3219222469553859,0.03802281368821293,0.19011406844106463,0.3688212927756654,3,hard_focus,False,0.9155293556361954,0.0,0.3,0.7
90,0.3885468542575836,0.9016611487805231,0.913272125718315,0.32355813748592166,0.03802281368821293,0.19011406844106463,0.3726235741444867,3,hard_focus,False,0.9127557142650609,0.0,0.3,0.7
100,0.3890255093574524,0.8863219072127688,0.9035120107467893,0.328590168406993,0.03802281368821293,0.19011406844106463,0.3726235741444867,3,hard_focus,False,0.9063655683904639,0.0,0.3,0.7
110,0.37279972434043884,0.888100160476514,0.9050492879290691,0.3535218113946699,0.03802281368821293,0.19011406844106463,0.3688212927756654,3,hard_focus,False,0.9005334759791236,0.0,0.3,0.7
120,0.3724159598350525,0.8853677225346614,0.9011112092148165,0.3149967020112386,0.03802281368821293,0.19011406844106463,0.3650190114068441,3,hard_focus,False,0.8952912431869768,0.0,0.3,0.7
130,0.35986512899398804,0.8808281166418481,0.8955825581647419,0.26390846250042455,0.03802281368821293,0.18250950570342206,0.3650190114068441,3,hard_focus,False,0.8884558111292631,0.0,0.3,0.7
140,0.3535720109939575,0.8723705706313523,0.8892616950592847,0.2425054717209862,0.03802281368821293,0.18250950570342206,0.3612167300380228,3,hard_focus,False,0.8825976954994289,0.0,0.3,0.7
150,0.3477552533149719,0.8720380517283755,0.8929720592983178,0.32794419885452414,0.03802281368821293,0.19011406844106463,0.3612167300380228,3,hard_focus,False,0.8797409244025503,0.0,0.3,0.7
