dataset,model,heuristic,condition,metric,mean,std,n_seeds
cora,gcn,,abl-1,ap,0.9327530421658181,0.007325498053917609,10
cora,gcn,,abl-1,auc,0.924729142437412,0.010745332862369115,10
cora,gcn,,abl-1,heart_hits@10,0.7888045540796963,0.01893829402340608,10
cora,gcn,,abl-1,heart_hits@100,0.9979127134724857,0.0015762094616542882,10
cora,gcn,,abl-1,heart_hits@50,0.9650853889943075,0.010365465111003924,10
cora,gcn,,abl-1,heart_mrr,0.5051309360422673,0.036736798605007726,10
cora,gcn,,abl-1,hits@10,0.018975332068311195,0.0,10
cora,gcn,,abl-1,hits@100,0.1882352941176471,0.0011385199240986745,10
cora,gcn,,abl-1,hits@50,0.09392789373814044,0.0012729039720112685,10
cora,gcn,,abl-1,mrr,0.30188849340423685,0.08427390554226287,10
cora,gcn,cn,abl-10,ap,0.8986453813981294,0.012318177102693128,10
cora,gcn,cn,abl-10,auc,0.8940161092287804,0.014114997810594493,10
cora,gcn,cn,abl-10,heart_hits@10,0.6880455407969641,0.03771463604950236,10
cora,gcn,cn,abl-10,heart_hits@100,0.9988614800759013,0.0017391179107991974,10
cora,gcn,cn,abl-10,heart_hits@50,0.952561669829222,0.01103183442409763,10
cora,gcn,cn,abl-10,heart_mrr,0.3880466927946868,0.02789712672955766,10
cora,gcn,cn,abl-10,hits@10,0.018975332068311195,0.0,10
cora,gcn,cn,abl-10,hits@100,0.18652751423149905,0.001482020811367495,10
cora,gcn,cn,abl-10,hits@50,0.09411764705882354,0.0009295976253446641,10
cora,gcn,cn,abl-10,mrr,0.2036453944199906,0.021098206012555656,10
cora,gcn,cn,abl-11,ap,0.8895330247396263,0.017448802892566936,10
cora,gcn,cn,abl-11,auc,0.8869415869426671,0.01778792816384655,10
cora,gcn,cn,abl-11,heart_hits@10,0.6633776091081593,0.033195443967885686,10
cora,gcn,cn,abl-11,heart_hits@100,0.9994307400379506,0.0008695589553996134,10
cora,gcn,cn,abl-11,heart_hits@50,0.9495256166982923,0.01497008191523039,10
cora,gcn,cn,abl-11,heart_mrr,0.36339251067100603,0.030513297174285622,10
cora,gcn,cn,abl-11,hits@10,0.019165085388994307,0.0005692599620493364,10
cora,gcn,cn,abl-11,hits@100,0.18425047438330172,0.002743231934497336,10
cora,gcn,cn,abl-11,hits@50,0.09354838709677418,0.0012150140867994048,10
cora,gcn,cn,abl-11,mrr,0.18058314886448196,0.035383306353625556,10
cora,gcn,cn,abl-2,ap,0.8863096550417519,0.01307146196619559,10
cora,gcn,cn,abl-2,auc,0.8834381717429579,0.016003746031638393,10
cora,gcn,cn,abl-2,heart_hits@10,0.6438330170777988,0.02269199024060125,10
cora,gcn,cn,abl-2,heart_hits@100,0.9996204933586338,0.0007590132827324681,10
cora,gcn,cn,abl-2,heart_hits@50,0.9489563567362429,0.01441251108292846,10
cora,gcn,cn,abl-2,heart_mrr,0.3497916687006279,0.018610341478818883,10
cora,gcn,cn,abl-2,hits@10,0.018975332068311195,0.0,10
cora,gcn,cn,abl-2,hits@100,0.18576850094876662,0.0017901292470695693,10
cora,gcn,cn,abl-2,hits@50,0.09411764705882353,0.0012586811348597369,10
cora,gcn,cn,abl-2,mrr,0.18900509293873363,0.022628062513395317,10
cora,gcn,cn,abl-3,ap,0.887174045173655,0.018899229786381682,10
cora,gcn,cn,abl-3,auc,0.8868904579644186,0.019624975775660417,10
cora,gcn,cn,abl-3,heart_hits@10,0.6601518026565465,0.04119395566114302,10
cora,gcn,cn,abl-3,heart_hits@100,0.9994307400379506,0.0008695589553996134,10
cora,gcn,cn,abl-3,heart_hits@50,0.9565464895635675,0.013721408872706595,10
cora,gcn,cn,abl-3,heart_mrr,0.3663559870068595,0.024337397964467992,10
cora,gcn,cn,abl-3,hits@10,0.018975332068311195,0.0,10
cora,gcn,cn,abl-3,hits@100,0.18368121442125238,0.003264639570035144,10
cora,gcn,cn,abl-3,hits@50,0.09335863377609108,0.0016542310981179048,10
