dataset,model,heuristic,condition,metric,mean,std,n_seeds
citeseer,gat,,baseline,ap,0.9317506864918016,0.010616512577620483,10
citeseer,gat,,baseline,auc,0.9125289216278227,0.012230065288682831,10
citeseer,gat,,baseline,heart_hits@10,0.8,0.026041869439294294,10
citeseer,gat,,baseline,heart_hits@100,0.9993406593406593,0.0010071594933968842,10
citeseer,gat,,baseline,heart_hits@50,0.9384615384615385,0.01480868617839387,10
citeseer,gat,,baseline,heart_mrr,0.5781297148959259,0.043404688336146205,10
citeseer,gat,,baseline,hits@10,0.02197802197802198,0.0,10
citeseer,gat,,baseline,hits@100,0.21890109890109893,0.001457857050705665,10
citeseer,gat,,baseline,hits@50,0.1098901098901099,1.3877787807814457e-17,10
citeseer,gat,,baseline,mrr,0.44304103022845753,0.09000013362909504,10
citeseer,gcn,,baseline,ap,0.9099342699353864,0.009975889171633402,10
citeseer,gcn,,baseline,auc,0.8966617558265911,0.011832004130654142,10
citeseer,gcn,,baseline,heart_hits@10,0.7265934065934065,0.04039653707565024,10
citeseer,gcn,,baseline,heart_hits@100,0.9997802197802198,0.000659340659340657,10
citeseer,gcn,,baseline,heart_hits@50,0.9505494505494505,0.008179250138869639,10
citeseer,gcn,,baseline,heart_mrr,0.4761250015850095,0.04270406155882673,10
citeseer,gcn,,baseline,hits@10,0.02197802197802198,0.0,10
citeseer,gcn,,baseline,hits@100,0.21890109890109893,0.0010766987880365582,10
citeseer,gcn,,baseline,hits@50,0.1098901098901099,1.3877787807814457e-17,10
citeseer,gcn,,baseline,mrr,0.34552232960839646,0.037524609856738,10
cora,gat,,baseline,ap,0.930492695395003,0.008617435666248285,10
cora,gat,,baseline,auc,0.9178616565068826,0.008547856996835638,10
cora,gat,,baseline,heart_hits@10,0.7967741935483871,0.02532264996297113,10
cora,gat,,baseline,heart_hits@100,0.9986717267552182,0.001707779886148005,10
cora,gat,,baseline,heart_hits@50,0.952371916508539,0.011863756381283171,10
cora,gat,,baseline,heart_mrr,0.5226424752737101,0.0334151602274123,10
cora,gat,,baseline,hits@10,0.018975332068311195,0.0,10
cora,gat,,baseline,hits@100,0.1889943074003795,0.0009295976253446571,10
cora,gat,,baseline,hits@50,0.09449715370018975,0.0007590132827324514,10
cora,gat,,baseline,mrr,0.3286633568305934,0.05992225430814369,10
cora,gcn,,baseline,ap,0.932847386515703,0.007340702256671911,10
cora,gcn,,baseline,auc,0.9248760482340698,0.010718552316519237,10
cora,gcn,,baseline,heart_hits@10,0.789753320683112,0.019103928574805647,10
cora,gcn,,baseline,heart_hits@100,0.9979127134724857,0.0015762094616542882,10
cora,gcn,,baseline,heart_hits@50,0.9648956356736245,0.010941710241623158,10
cora,gcn,,baseline,heart_mrr,0.5055205791987747,0.037125585741084606,10
cora,gcn,,baseline,hits@10,0.018975332068311195,0.0,10
cora,gcn,,baseline,hits@100,0.1882352941176471,0.0011385199240986745,10
cora,gcn,,baseline,hits@50,0.09392789373814044,0.0012729039720112685,10
cora,gcn,,baseline,mrr,0.3022949037976594,0.08453992451914924,10
pubmed,gat,,baseline,ap,0.9484173927278992,0.0030794101178724695,10
pubmed,gat,,baseline,auc,0.9524166908657419,0.0014404729196728196,10
pubmed,gat,,baseline,heart_hits@10,0.8734657039711191,0.003364562351328284,10
pubmed,gat,,baseline,heart_hits@100,0.9998871841155234,0.00018191014775042114,10
pubmed,gat,,baseline,heart_hits@50,0.9866425992779784,0.0017674328544734716,10
pubmed,gat,,baseline,heart_mrr,0.47518334872733947,0.0049164420208767596,10
pubmed,gat,,baseline,hits@10,0.002256317689530686,0.0,10
pubmed,gat,,baseline,hits@100,0.022314981949458478,0.00018742382362179903,10
pubmed,gat,,baseline,hits@50,0.011213898916967507,0.00010339746604142306,10
pubmed,gat,,baseline,mrr,0.06609272891325228,0.020547892971934982,10
pubmed,gcn,,baseline,ap,0.9720474724187627,0.001493267376850957,10
pubmed,gcn,,baseline,auc,0.9709546239850644,0.001268949982282532,10
pubmed,gcn,,baseline,heart_hits@10,0.9202391696750902,0.004844782240093838,10
pubmed,gcn,,baseline,heart_hits@100,0.9999548736462096,9.02527075812287e-05,10
pubmed,gcn,,baseline,heart_hits@50,0.9903203971119134,0.0012085525036861044,10
pubmed,gcn,,baseline,heart_mrr,0.5419632210863223,0.011456223849908433,10
pubmed,gcn,,baseline,hits@10,0.002256317689530686,0.0,10
pubmed,gcn,,baseline,hits@100,0.022495487364620936,0.00014447482485182496,10
pubmed,gcn,,baseline,hits@50,0.011236462093862814,0.0001353790613718415,10
pubmed,gcn,,baseline,mrr,0.1568360320325419,0.0383048545100068,10
